Gene1,Gene2
sox2,sub1b
sox2,setbp1
sox2,ybx1
sox2,rfx2
sox2,nfil3-5
sox2,mef2cb
sox2,arid1b
sox2,zhx2a
sox2,ubald1a
sox2,hmgb3a
sox2,mta2
sox2,znf536
sox2,mef2d
sox2,jun
sox2,stat3
sox2,hivep3b
sox2,ncor2
sox2,irx5a
sox2,klf5l
sox2,zgc:158291
sox2,id3
sox2,atf4b
sox2,foxp4
sox2,zbtb18
sox2,mbd2
sox2,nr4a3
sox2,rarab
sox2,crema
sox2,irx3a
sox2,atf6
sox2,erfl3
sox2,fosb
sox2,her6
sox2,ef1
sox2,rerea
sox2,foxg1a
sox2,cicb
sox2,junbb
sox2,zhx3
sox2,xbp1
sox2,tead1b
sox2,yy1a
sox2,smarce1
sox2,bach1b
sox2,etv5a
sox2,hivep2a
sox2,srebf2
sox2,tox
sox2,klf11b
sox2,dlx5a
sox2,hivep1
sox2,sox6
sox2,tcf12
sox2,elmsan1b
sox2,creb3l2
sox2,rarga
sox2,nr2f1a
sox2,tfe3a
sox2,zfp36l1b
sox2,atf3
sox2,fosl1a
sox2,nkrf
sox2,nr1d2b
sox2,junba
sox2,gata2a
sox2,hes6
sox2,hmgb2a
sox2,pax2a
sox2,id4
sox2,sfpq
sox2,her9
sox2,ets2
sox2,myt1b
sox2,id2a
sox2,myt1a
sox2,nfe2l1b
sox2,atf5b
sox2,ebf3a
sox2,ubtf
sox2,kmt2cb
sox2,sall1a
sox2,her4.2
sox2,her4.1
sox2,tomm20a
sox2,hif1ab
sox2,her4.2.1
sox2,cnbpb
sox2,sp4
sox2,sox21a
sox2,smad3a
sox2,znf516
sox2,tp53
sox2,sox1a
sox2,barhl1a
sox2,foxo1a
sox2,pou2f1b
sox2,six1b
sox2,six4b
sox2,khsrp
sox2,her8a
sox2,otx1a
sox2,egr4
sox2,id1
sox2,hmgb1b
sox2,hmga1a
sox2,notch1a
sox2,pbx3b
sox2,znf1035
sox2,isl1
sox2,six1a
sox2,six4a
sox2,znf646
sox2,klf7b
sox2,znf865
sox2,csrnp1a
sox2,purba
sox2,atoh1a
sox2,si:dkey-23i12.7
sox2,aebp2
sox2,hey1
sox2,sox13
sox2,smad7
sox2,tfdp2
sox2,baz2ba
sox2,tax1bp1b
sox2,klf7a
sox2,epas1b
sox2,dachc
sox2,mycb
sox2,cbfb
sox2,nfe2l2a
sox2,cux1a
sox2,ncor1
sox2,nr3c1
sox2,maff
sox2,zgc:153115
sox2,myef2
sox2,egr1
sox2,meis1b
sox2,cebpg
sox2,tsc22d3
sox2,carhsp1
sox2,bhlhe40
sox2,klf6a
sox2,arnt2
sox2,zmiz1a
sox2,tsc22d1
sox2,creb3l3l
sox2,lin28a
sox2,tcf7l2
sox2,nr4a1
sox2,notch2
sox2,zfhx3
sox2,hes2.2
sox2,si:ch211-198a12.6
sox2,znf827
