"","pValue","Adjusted","logFC"
"foxj1a",5.55111512312578e-16,4.05231403988182e-13,2.9976052255011
"si:dkey-111k8.3",0.999998918882787,1,0.087002166372667
"znf1134",0.00401544807655763,1,2.36734915766342
"znf1143",0.701123276127737,1,0.565116268831302
"znf1028.1",0.182527508123488,1,1.20368823077157
"zgc:173575",0.628539484209832,1,0.442217245097953
"znf1124",0.0210186285915247,1,1.03495393004365
"crebl2",0.0124735480288886,1,1.03807388059562
"arid2",0.0124128474771908,1,1.76036462318565
"dnajc2",2.15147748527933e-05,0.0157057856425391,2.12435880371211
"yeats4",0.000421979026238972,0.30804468915445,0.565338810876582
"e2f7",0.0102359659747256,1,2.86201215239368
"aebp2",0.642703339086496,1,0.423277067336387
"znf800b",0.932381943773262,1,0.37897087570778
"creb3l2",0.692116553072033,1,0.566864047148682
"si:dkey-14d8.1",0.999992561268107,1,0.142738169229518
"elk3",1,1,1.14073183256807
"nfyba",1.85045978540188e-10,1.35083564334337e-07,0.783248607248663
"hmga2",0.0195729695803124,1,1.64439437535431
"irf5",0.984976099149419,1,0.340302242499231
"nrf1",4.50452763978149e-08,3.28830517704048e-05,1.03320699783809
"nr2c1",0.593444143695227,1,0.715139839546756
"zbed4",0.844711580795356,1,0.376236567375017
"znf1041",0.996374596490051,1,0.28861189123672
"CABZ01050663.1",0.663440104631599,1,1.18326467957628
"zgc:174315",0.999256636875378,1,0.219602511225507
"si:dkey-199m13.4",0.303337558900085,1,1.17426391934104
"CR450785.1",0.61840379247301,1,1.64903724059735
"znf1062",0.178814035838235,1,0.800845642175687
"si:dkeyp-53e4.1",0.836764637709577,1,0.63990851205516
"si:ch211-226o13.2",0.994135751159414,1,0.293960781421854
"si:dkey-7j22.2",0.990305638447573,1,0.33753248526216
"znf1137.1",0.980942897330619,1,0.357363773130331
"si:dkey-51d8.6",0.78913941631882,1,1.00887175365073
"si:dkey-256i11.2",0.00972541831673501,1,2.11101643055761
"znf1020",0.314293442009704,1,1.90038560083792
"si:dkey-156k2.3",0.139373596043203,1,0.80079266361861
"znf1128.1",0.834889252036794,1,0.762006305586019
"zgc:174275",0.853669931381276,1,1.1299403026
"si:dkey-57k17.1",0.210553534023904,1,3.18576033470502
"si:dkey-264f17.4",0.633652640678454,1,0.66287338908414
"zgc:175107",1,1,0.00173213517274462
"si:cabz01054396.2",0.973342144057965,1,0.436520819912879
"CABZ01021433.1",0.274708307962962,1,1.1245922214728
"si:cabz01021426.2",0.890498610406325,1,0.580730774691805
"zgc:162958",0.84651194343518,1,0.830274267807103
"si:ch73-266f23.1.1",0.0155323331272895,1,1.52447281525455
"CU570689.2",0.407308338471633,1,2.02359516573776
"si:ch73-266f23.3",0.756716125660128,1,0.86670443550881
"znf989",0.759887739504374,1,0.875310434221623
"zgc:173624",0.925243579805804,1,0.504908568827059
"si:cabz01071911.3",0.107485761431368,1,1.46695887608174
"znf1009",0.240926133036223,1,1.23274910713876
"znf1009.1",0.996471980365243,1,0.262072657397754
"si:dkey-172k15.3",0.340589381761953,1,0.770689846350278
"zgc:162948",0.961784243999252,1,0.339957816996897
"CABZ01063885.1",0.432468450235861,1,1.38614032588027
"terfa",0.851054140082661,1,0.301926770643594
"thap1",0.993781360211325,1,0.530188159460435
"mbd2",1.11307174588404e-09,8.12542374495351e-07,0.77986272566912
"CABZ01041962.1",0.000226870871582352,0.165615736255117,0.537843005230505
"purba",3.59347328687809e-05,0.0262323549942101,0.528730257252488
"xbp1",0,0,1.13458582281197
"foxn4",0.00210417911647576,1,40.273259123022
"npas2",0.27518391522932,1,1.95190981542225
"tp53",0.000164397644374148,0.120010280393128,0.760860233420508
"rorb",0.845567418865769,1,0.776327200926589
"klf9",0.128860076741876,1,1.97393756588594
"barhl1a",0,0,2.7652207660435
"usf1l",2.26990419793793e-08,1.65703006449469e-05,0.43607604175147
"hinfp",0.99381497474817,1,0.419488526729738
"si:ch211-284e13.6",0.230477068162761,1,0.389934262733221
"isl1",3.66670249718482e-10,2.67669282294491e-07,1.50344417558938
"sub1b",7.43849426498855e-15,5.43010081344164e-12,0.91371554399279
"pias2",0.0177069889124964,1,0.637319086311029
"ncor1",0.00804697027310075,1,0.927388743254385
"mef2cb",2.13036411688128e-05,0.0155516580532333,0.904804967748231
"nr2f1a",0.331107264898279,1,1.63283038278328
"snapc4",0.0837986490212027,1,0.989174207090952
"setbp1",3.34648186014475e-05,0.0244293175790566,2.29142135157772
"gtf2ird1",0.999211385412839,1,0.148236460763173
"si:ch73-37h15.2",0.00302944845576469,1,0.430922794243677
"si:ch73-376l24.2",1.75663862094222e-05,0.0128234619328782,0.460013365366203
"si:ch73-376l24.3",0.0262156478181921,1,0.702415548213186
"ttf1",0.0245877777273668,1,0.530099772283953
"si:ch73-376l24.6",0.000841756903983581,0.614482539908014,0.889702926335661
"notch1b",0.980708969348909,1,0.396719858351906
"ebf2",0.136880389052746,1,10.0527000090394
"gtf3aa",0.354213962579399,1,0.817295554667115
"pou4f1",0,0,2.84178561634085
"sox21a",1.22102328248275e-12,8.91346996212405e-10,0.330511809140061
"nfil3-5",2.93773297451727e-05,0.0214454507139761,1.34835604246428
"si:dkey-217d24.6",0.573132147787248,1,0.857936440686856
"si:dkey-34m19.3",0.233366695651844,1,1.00005728159352
"nfe2l2b",0.058791728075493,1,2.79212288729057
"baz2ba",0.81670098546182,1,0.284792216702575
"etv5b",0.423279776541897,1,1.43754527936097
"zgc:161969",0.10827215030928,1,1.1384081011588
"gfi1ab",2.35486519173378e-10,1.71905158996566e-07,2.18898504935082
"zbtb11",0.209365279446703,1,1.63455495335244
"gpbp1l1",0.326769900685344,1,0.80397874468956
"mier1a",0.122689185111512,1,1.58706393388305
"her6",1.46514490807492e-05,0.0106955578289469,0.461946349112476
"vdrb",0.687750444621556,1,0.808619567763797
"stat2",0.688340688982113,1,0.989503031754021
"atf1",0.256644026166996,1,0.315935550917891
"atf7b",0.0847758851273643,1,0.73137479773983
"gata2b",0.00145160695037672,1,1.11429301734098
"patz1",0.0705510432769824,1,1.14964148873505
"foxp1b",0.664485958786299,1,1.23236748494504
"apitd1",1.11022302462516e-16,8.10462807976364e-14,1.67914519472031
"pbrm1l",0.000536614529849655,0.391728606790248,1.09732309412788
"mych",2.26374474721069e-13,1.65253366546381e-10,0.774474075580807
"hmga1b",0.0818241793961687,1,1.78623801294885
"tfap2c",0.995198420833484,1,0.389882465933262
"ddit3",1.20690901717069e-10,8.81043582534602e-08,1.56988501978056
"rela",0.998604697965718,1,0.275676367660237
"arnt2",0.159261178962297,1,1.43228384321332
"e2f8",0.0172064036341832,1,11.1135733529673
"mta2",0.00235968579217516,1,1.21085554153596
"znf16l",0.889964321662373,1,0.92170249045258
"ovol1",0.915589300410935,1,0.240358888376069
"homezb",0.00573006902319051,1,1.07802559108414
"rcor2",7.20990257163656e-07,0.000526322887729469,3.33564716598326
"si:dkey-23i12.7",0.000685261759097666,0.500241084141296,2.12800165496072
"hmgb3a",0,0,0.951177767972877
"her8a",0.876337392949043,1,1.11501129437313
"plscr3b",1.0191714139296e-10,7.43995132168607e-08,1.17600279518174
"sox6",0.95610059042633,1,0.828761146624968
